Model,Accuracy,Precision,Recall,Specificity,F1-Score,TP,FP,FN,TN
RandomForest,0.9806629834254144,0.8275862068965517,0.5669291338582677,0.9957056971085028,0.6728971962616822,72,15,55,3478
MLPClassifier,0.9781767955801105,0.6428571428571429,0.8503937007874016,0.9828227884340108,0.7322033898305085,108,60,19,3433
LogisticRegression,0.9773480662983426,0.630057803468208,0.8582677165354331,0.9816776409962783,0.7266666666666667,109,64,18,3429
GradientBoosting,0.9770718232044199,0.627906976744186,0.8503937007874016,0.9816776409962783,0.7224080267558528,108,64,19,3429
SVC,0.9709944751381215,0.5555555555555556,0.8661417322834646,0.9748067563698827,0.676923076923077,110,88,17,3405
